IDLocator,L_Route,L_Dir,L_Lane,L_Section
11208,2078_3,5,2,610582
11209,2078_4,5,2,610582
11210,2078_5,5,2,610582
11211,2078_6,5,2,610582
11212,2078_7,5,2,610582
11213,2078_8,5,2,610582
11214,2078_9,5,2,610582
11215,2078_10,5,2,610582
11216,2078_11,5,2,610582
11217,2078_12,5,2,610582
11218,2078_13,5,2,610582
11219,2078_14,5,2,610582
11220,2078_15,5,2,610582
11221,2078_16,5,2,610582
11222,2078_17,5,2,610582
11223,2078_1,5,3,610583
11224,2078_2,5,3,610583
11225,2078_3,5,3,610583
11226,2078_4,5,3,610583
11227,2078_5,5,3,610583
11228,2078_6,5,3,610583
11229,2078_7,5,3,610583
11230,2078_8,5,3,610583
11231,2078_9,5,3,610583
11232,2078_10,5,3,610583
11233,2078_11,5,3,610583
11234,2078_12,5,3,610583
11235,2078_13,5,3,610583
11236,2078_14,5,3,610583
11237,2078_15,5,3,610583
11238,2078_16,5,3,610583
11239,2078_17,5,3,610583
11240,2078_1,5,4,610584
11241,2078_2,5,4,610584
11242,2078_3,5,4,610584
11243,2078_4,5,4,610584
11244,2078_5,5,4,610584
11245,2078_6,5,4,610584
11246,2078_7,5,4,610584
11247,2078_8,5,4,610584
11248,2078_9,5,4,610584
11249,2078_10,5,4,610584
11250,2078_11,5,4,610584
11251,2078_12,5,4,610584
11252,2078_13,5,4,610584
11253,2078_14,5,4,610584
11254,2078_15,5,4,610584
11255,2078_16,5,4,610584
11256,2078_17,5,4,610584
11257,2079_1,5,1,610610
11258,2079_2,5,1,610610
11259,2079_1,5,2,610612
11260,2079_2,5,2,610612
11261,2079_1,5,3,610613
11262,2079_2,5,3,610613
11263,2079_1,5,4,610614
11264,2079_2,5,4,610614
11265,2081,5,1,610620
11266,2081,5,2,610622
11267,2081,5,3,610623
11268,2081,5,4,610624
11269,2082,5,1,610630
11270,2082,5,2,610632
11271,2082,5,3,610633
11272,2082,5,4,610634
11273,2083,5,1,610640
11274,2083,5,2,610642
