rsection,rbeg_chg,rend_chg,rlength,rdir,BEGLAT,BEGLONG,ENDLAT,ENDLONG,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10
626994,0,0.12,0.12,5,0.430479631,0.955755043,0.430490404,0.955738023,8080,5,4,626994,,,,,,
627490,0,0.131,0.131,5,0.430655837,0.955994762,0.430668446,0.955976799,8491_1,5,1,627490,,,,,,
627490,0.131,0.263,0.132,5,0.430668446,0.955976799,0.430681079,0.955958829,8491_2,5,1,627490,,,,,,
627490,0.263,0.282,0.019,5,0.430681079,0.955958829,0.430682914,0.955956222,8491_3,5,1,627490,,,,,,
627492,0,0.131,0.131,5,0.430655837,0.955994762,0.430668446,0.955976799,8491_1,5,2,627492,,,,,,
627492,0.131,0.263,0.132,5,0.430668446,0.955976799,0.430681079,0.955958829,8491_2,5,2,627492,,,,,,
627492,0.263,0.282,0.019,5,0.430681079,0.955958829,0.430682914,0.955956222,8491_3,5,2,627492,,,,,,
627493,0,0.131,0.131,5,0.430655837,0.955994762,0.430668446,0.955976799,8491_1,5,3,627493,,,,,,
627493,0.131,0.263,0.132,5,0.430668446,0.955976799,0.430681079,0.955958829,8491_2,5,3,627493,,,,,,
627493,0.263,0.282,0.019,5,0.430681079,0.955958829,0.430682914,0.955956222,8491_3,5,3,627493,,,,,,
627494,0,0.131,0.131,5,0.430655837,0.955994762,0.430668446,0.955976799,8491_1,5,4,627494,,,,,,
627494,0.131,0.263,0.132,5,0.430668446,0.955976799,0.430681079,0.955958829,8491_2,5,4,627494,,,,,,
627494,0.263,0.282,0.019,5,0.430681079,0.955958829,0.430682914,0.955956222,8491_3,5,4,627494,,,,,,
627610,0,0.137,0.137,5,0.4307228,0.955843829,0.430734712,0.955824382,8543,5,1,627610,,,,,,
627612,0,0.137,0.137,5,0.4307228,0.955843829,0.430734712,0.955824382,8543,5,2,627612,,,,,,
627613,0,0.137,0.137,5,0.4307228,0.955843829,0.430734712,0.955824382,8543,5,3,627613,,,,,,
627614,0,0.137,0.137,5,0.4307228,0.955843829,0.430734712,0.955824382,8543,5,4,627614,,,,,,
628640,0,0.1,0.1,5,0.430553708,0.95552231,0.430566683,0.955532146,8904_1,5,1,628640,,,,,,
628640,0.1,0.329,0.229,5,0.430566683,0.955532146,0.430596314,0.955554737,8904_2,5,1,628640,,,,,,
628640,0.329,0.47,0.141,5,0.430596314,0.955554737,0.430614562,0.955568561,8904_3,5,1,628640,,,,,,
628640,0.47,0.56,0.09,5,0.430614562,0.955568561,0.430626252,0.955577408,8904_4,5,1,628640,,,,,,
628640,0.56,0.694,0.134,5,0.430626252,0.955577408,0.430643598,0.955590563,8904_5,5,1,628640,,,,,,
628640,0.694,0.925,0.231,5,0.430643598,0.955590563,0.430673496,0.955613199,8904_6,5,1,628640,,,,,,
628640,0.925,1.155,0.23,5,0.430673496,0.955613199,0.43070323,0.955635738,8904_7,5,1,628640,,,,,,
628640,1.155,1.289,0.134,5,0.43070323,0.955635738,0.430720649,0.955648894,8904_8,5,1,628640,,,,,,
628640,1.289,1.519,0.23,5,0.430720649,0.955648894,0.430750501,0.955671415,8904_9,5,1,628640,,,,,,
628640,1.519,1.75,0.231,5,0.430750501,0.955671415,0.430780289,0.955694169,8904_10,5,1,628640,,,,,,
